Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 6,1 wk ahead,Bin,percent,3.9,4,0.0058237094067713
HHS Region 6,1 wk ahead,Bin,percent,4,4.1,0.00651465798045603
HHS Region 6,1 wk ahead,Bin,percent,4.1,4.2,0.00562629552857566
HHS Region 6,1 wk ahead,Bin,percent,4.2,4.3,0.0058237094067713
HHS Region 6,1 wk ahead,Bin,percent,4.3,4.4,0.00503405389398875
HHS Region 6,1 wk ahead,Bin,percent,4.4,4.5,0.00552758858947784
HHS Region 6,1 wk ahead,Bin,percent,4.5,4.6,0.00296120817293456
HHS Region 6,1 wk ahead,Bin,percent,4.6,4.7,0.00375086368571711
HHS Region 6,1 wk ahead,Bin,percent,4.7,4.8,0.00414569144210838
HHS Region 6,1 wk ahead,Bin,percent,4.8,4.9,0.00404698450301056
HHS Region 6,1 wk ahead,Bin,percent,4.9,5,0.00345474286842365
HHS Region 6,1 wk ahead,Bin,percent,5,5.1,0.00365215674661929
HHS Region 6,1 wk ahead,Bin,percent,5.1,5.2,0.00276379429473892
HHS Region 6,1 wk ahead,Bin,percent,5.2,5.3,0.00246767347744546
HHS Region 6,1 wk ahead,Bin,percent,5.3,5.4,0.00197413878195637
HHS Region 6,1 wk ahead,Bin,percent,5.4,5.5,0.0015793110255651
HHS Region 6,1 wk ahead,Bin,percent,5.5,5.6,0.00217155266015201
HHS Region 6,1 wk ahead,Bin,percent,5.6,5.7,0.00217155266015201
HHS Region 6,1 wk ahead,Bin,percent,5.7,5.8,0.001085776330076
HHS Region 6,1 wk ahead,Bin,percent,5.8,5.9,0.00118448326917382
HHS Region 6,1 wk ahead,Bin,percent,5.9,6,0.00167801796466292
HHS Region 6,1 wk ahead,Bin,percent,6,6.1,0.00207284572105419
HHS Region 6,1 wk ahead,Bin,percent,6.1,6.2,0.00148060408646728
HHS Region 6,1 wk ahead,Bin,percent,6.2,6.3,0.00148060408646728
HHS Region 6,1 wk ahead,Bin,percent,6.3,6.4,0.00138189714736946
HHS Region 6,1 wk ahead,Bin,percent,6.4,6.5,0.0015793110255651
HHS Region 6,1 wk ahead,Bin,percent,6.5,6.6,0.00118448326917382
HHS Region 6,1 wk ahead,Bin,percent,6.6,6.7,0.0015793110255651
HHS Region 6,1 wk ahead,Bin,percent,6.7,6.8,0.00167801796466292
HHS Region 6,1 wk ahead,Bin,percent,6.8,6.9,0.000394827756391274
HHS Region 6,1 wk ahead,Bin,percent,6.9,7,0.000888362451880367
HHS Region 6,1 wk ahead,Bin,percent,7,7.1,0.00118448326917382
HHS Region 6,1 wk ahead,Bin,percent,7.1,7.2,0.00069094857368473
HHS Region 6,1 wk ahead,Bin,percent,7.2,7.3,0.00118448326917382
HHS Region 6,1 wk ahead,Bin,percent,7.3,7.4,0.000493534695489093
HHS Region 6,1 wk ahead,Bin,percent,7.4,7.5,0.000987069390978186
HHS Region 6,1 wk ahead,Bin,percent,7.5,7.6,0.000888362451880367
HHS Region 6,1 wk ahead,Bin,percent,7.6,7.7,0.000493534695489093
HHS Region 6,1 wk ahead,Bin,percent,7.7,7.8,0.000493534695489093
HHS Region 6,1 wk ahead,Bin,percent,7.8,7.9,0.000394827756391274
HHS Region 6,1 wk ahead,Bin,percent,7.9,8,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,8,8.1,0.000789655512782549
HHS Region 6,1 wk ahead,Bin,percent,8.1,8.2,0.00069094857368473
HHS Region 6,1 wk ahead,Bin,percent,8.2,8.3,0.000493534695489093
HHS Region 6,1 wk ahead,Bin,percent,8.3,8.4,0.000394827756391274
HHS Region 6,1 wk ahead,Bin,percent,8.4,8.5,0.001085776330076
HHS Region 6,1 wk ahead,Bin,percent,8.5,8.6,0.000789655512782549
HHS Region 6,1 wk ahead,Bin,percent,8.6,8.7,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,8.7,8.8,0.000394827756391274
HHS Region 6,1 wk ahead,Bin,percent,8.8,8.9,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,8.9,9,0.000592241634586911
HHS Region 6,1 wk ahead,Bin,percent,9,9.1,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,9.1,9.2,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,9.2,9.3,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,9.3,9.4,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,9.4,9.5,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,9.5,9.6,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,9.6,9.7,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,9.7,9.8,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,9.8,9.9,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,9.9,10,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,10,10.1,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,10.1,10.2,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,10.2,10.3,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,10.3,10.4,0.000493534695489093
HHS Region 6,1 wk ahead,Bin,percent,10.4,10.5,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,10.5,10.6,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,10.6,10.7,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,10.7,10.8,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,10.8,10.9,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,10.9,11,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,11,11.1,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,11.1,11.2,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,11.2,11.3,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,11.3,11.4,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,11.4,11.5,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,11.5,11.6,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,11.6,11.7,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,11.7,11.8,0.000296120817293456
HHS Region 6,1 wk ahead,Bin,percent,11.8,11.9,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,11.9,12,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,12,12.1,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.1,12.2,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.2,12.3,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.3,12.4,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.4,12.5,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.5,12.6,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.6,12.7,0.000394827756391274
HHS Region 6,1 wk ahead,Bin,percent,12.7,12.8,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,12.8,12.9,9.87069390978186e-05
HHS Region 6,1 wk ahead,Bin,percent,12.9,13,0.000197413878195637
HHS Region 6,1 wk ahead,Bin,percent,13,100,0.00118448326917382
HHS Region 6,2 wk ahead,Point,percent,NA,NA,1.6
HHS Region 6,2 wk ahead,Bin,percent,0,0.1,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,0.1,0.2,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,0.2,0.3,0.00493534695489093
HHS Region 6,2 wk ahead,Bin,percent,0.3,0.4,0.0135228506564011
HHS Region 6,2 wk ahead,Bin,percent,0.4,0.5,0.0222090612970092
HHS Region 6,2 wk ahead,Bin,percent,0.5,0.6,0.0324745829631823
HHS Region 6,2 wk ahead,Bin,percent,0.6,0.7,0.041358207481986
HHS Region 6,2 wk ahead,Bin,percent,0.7,0.8,0.0438258809594314
HHS Region 6,2 wk ahead,Bin,percent,0.8,0.9,0.0441220017767249
HHS Region 6,2 wk ahead,Bin,percent,0.9,1,0.0472806238278551
HHS Region 6,2 wk ahead,Bin,percent,1,1.1,0.0438258809594314
HHS Region 6,2 wk ahead,Bin,percent,1.1,1.2,0.0460961405586813
HHS Region 6,2 wk ahead,Bin,percent,1.2,1.3,0.0427401046293554
HHS Region 6,2 wk ahead,Bin,percent,1.3,1.4,0.0421478629947685
HHS Region 6,2 wk ahead,Bin,percent,1.4,1.5,0.0387918270654427
HHS Region 6,2 wk ahead,Bin,percent,1.5,1.6,0.0358306188925081
HHS Region 6,2 wk ahead,Bin,percent,1.6,1.7,0.0335603592932583
HHS Region 6,2 wk ahead,Bin,percent,1.7,1.8,0.0341526009278452
HHS Region 6,2 wk ahead,Bin,percent,1.8,1.9,0.0287237192774652
HHS Region 6,2 wk ahead,Bin,percent,1.9,2,0.0265521666173132
HHS Region 6,2 wk ahead,Bin,percent,2,2.1,0.025565097226335
HHS Region 6,2 wk ahead,Bin,percent,2.1,2.2,0.0282301845819761
HHS Region 6,2 wk ahead,Bin,percent,2.2,2.3,0.0217155266015201
HHS Region 6,2 wk ahead,Bin,percent,2.3,2.4,0.0219129404797157
HHS Region 6,2 wk ahead,Bin,percent,2.4,2.5,0.0195439739413681
HHS Region 6,2 wk ahead,Bin,percent,2.5,2.6,0.0181620767939986
HHS Region 6,2 wk ahead,Bin,percent,2.6,2.7,0.0164840588293357
HHS Region 6,2 wk ahead,Bin,percent,2.7,2.8,0.0153982824992597
HHS Region 6,2 wk ahead,Bin,percent,2.8,2.9,0.0143125061691837
HHS Region 6,2 wk ahead,Bin,percent,2.9,3,0.0132267298391077
HHS Region 6,2 wk ahead,Bin,percent,3,3.1,0.0113512979962491
HHS Region 6,2 wk ahead,Bin,percent,3.1,3.2,0.0102655216661731
HHS Region 6,2 wk ahead,Bin,percent,3.2,3.3,0.0121409535090317
HHS Region 6,2 wk ahead,Bin,percent,3.3,3.4,0.0100681077879775
HHS Region 6,2 wk ahead,Bin,percent,3.4,3.5,0.0084887967624124
HHS Region 6,2 wk ahead,Bin,percent,3.5,3.6,0.00868621064060803
HHS Region 6,2 wk ahead,Bin,percent,3.6,3.7,0.00858750370151021
HHS Region 6,2 wk ahead,Bin,percent,3.7,3.8,0.00651465798045603
HHS Region 6,2 wk ahead,Bin,percent,3.8,3.9,0.00671207185865166
HHS Region 6,2 wk ahead,Bin,percent,3.9,4,0.00523146777218438
HHS Region 6,2 wk ahead,Bin,percent,4,4.1,0.00444181225940184
HHS Region 6,2 wk ahead,Bin,percent,4.1,4.2,0.00542888165038002
HHS Region 6,2 wk ahead,Bin,percent,4.2,4.3,0.00552758858947784
HHS Region 6,2 wk ahead,Bin,percent,4.3,4.4,0.00434310532030402
HHS Region 6,2 wk ahead,Bin,percent,4.4,4.5,0.00345474286842365
HHS Region 6,2 wk ahead,Bin,percent,4.5,4.6,0.00345474286842365
HHS Region 6,2 wk ahead,Bin,percent,4.6,4.7,0.00355344980752147
HHS Region 6,2 wk ahead,Bin,percent,4.7,4.8,0.00394827756391274
HHS Region 6,2 wk ahead,Bin,percent,4.8,4.9,0.00355344980752147
HHS Region 6,2 wk ahead,Bin,percent,4.9,5,0.00256638041654328
HHS Region 6,2 wk ahead,Bin,percent,5,5.1,0.0026650873556411
HHS Region 6,2 wk ahead,Bin,percent,5.1,5.2,0.00217155266015201
HHS Region 6,2 wk ahead,Bin,percent,5.2,5.3,0.00167801796466292
HHS Region 6,2 wk ahead,Bin,percent,5.3,5.4,0.00296120817293456
HHS Region 6,2 wk ahead,Bin,percent,5.4,5.5,0.00187543184285855
HHS Region 6,2 wk ahead,Bin,percent,5.5,5.6,0.00177672490376073
HHS Region 6,2 wk ahead,Bin,percent,5.6,5.7,0.0015793110255651
HHS Region 6,2 wk ahead,Bin,percent,5.7,5.8,0.00177672490376073
HHS Region 6,2 wk ahead,Bin,percent,5.8,5.9,0.00118448326917382
HHS Region 6,2 wk ahead,Bin,percent,5.9,6,0.00207284572105419
HHS Region 6,2 wk ahead,Bin,percent,6,6.1,0.00148060408646728
HHS Region 6,2 wk ahead,Bin,percent,6.1,6.2,0.000789655512782549
HHS Region 6,2 wk ahead,Bin,percent,6.2,6.3,0.00118448326917382
HHS Region 6,2 wk ahead,Bin,percent,6.3,6.4,0.000987069390978186
HHS Region 6,2 wk ahead,Bin,percent,6.4,6.5,0.000987069390978186
HHS Region 6,2 wk ahead,Bin,percent,6.5,6.6,0.000789655512782549
HHS Region 6,2 wk ahead,Bin,percent,6.6,6.7,0.0015793110255651
HHS Region 6,2 wk ahead,Bin,percent,6.7,6.8,0.001085776330076
HHS Region 6,2 wk ahead,Bin,percent,6.8,6.9,0.000888362451880367
HHS Region 6,2 wk ahead,Bin,percent,6.9,7,0.000888362451880367
HHS Region 6,2 wk ahead,Bin,percent,7,7.1,0.00128319020827164
HHS Region 6,2 wk ahead,Bin,percent,7.1,7.2,0.000789655512782549
HHS Region 6,2 wk ahead,Bin,percent,7.2,7.3,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,7.3,7.4,0.001085776330076
HHS Region 6,2 wk ahead,Bin,percent,7.4,7.5,0.000888362451880367
HHS Region 6,2 wk ahead,Bin,percent,7.5,7.6,0.000888362451880367
HHS Region 6,2 wk ahead,Bin,percent,7.6,7.7,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,7.7,7.8,0.000789655512782549
HHS Region 6,2 wk ahead,Bin,percent,7.8,7.9,0.00069094857368473
HHS Region 6,2 wk ahead,Bin,percent,7.9,8,0.000592241634586911
HHS Region 6,2 wk ahead,Bin,percent,8,8.1,0.000493534695489093
HHS Region 6,2 wk ahead,Bin,percent,8.1,8.2,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,8.2,8.3,0.000592241634586911
HHS Region 6,2 wk ahead,Bin,percent,8.3,8.4,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,8.4,8.5,0.00069094857368473
HHS Region 6,2 wk ahead,Bin,percent,8.5,8.6,0.000493534695489093
HHS Region 6,2 wk ahead,Bin,percent,8.6,8.7,0.000789655512782549
HHS Region 6,2 wk ahead,Bin,percent,8.7,8.8,0.00069094857368473
HHS Region 6,2 wk ahead,Bin,percent,8.8,8.9,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,8.9,9,0.00069094857368473
HHS Region 6,2 wk ahead,Bin,percent,9,9.1,0.000592241634586911
HHS Region 6,2 wk ahead,Bin,percent,9.1,9.2,0.000493534695489093
HHS Region 6,2 wk ahead,Bin,percent,9.2,9.3,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,9.3,9.4,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,9.4,9.5,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,9.5,9.6,0.000493534695489093
HHS Region 6,2 wk ahead,Bin,percent,9.6,9.7,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,9.7,9.8,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,9.8,9.9,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,9.9,10,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,10,10.1,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,10.1,10.2,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,10.2,10.3,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,10.3,10.4,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,10.4,10.5,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,10.5,10.6,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,10.6,10.7,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,10.7,10.8,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,10.8,10.9,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,10.9,11,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,11,11.1,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,11.1,11.2,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,11.2,11.3,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,11.3,11.4,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,11.4,11.5,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,11.5,11.6,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,11.6,11.7,0.000394827756391274
HHS Region 6,2 wk ahead,Bin,percent,11.7,11.8,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,11.8,11.9,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,11.9,12,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,12,12.1,0.000296120817293456
HHS Region 6,2 wk ahead,Bin,percent,12.1,12.2,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,12.2,12.3,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,12.3,12.4,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,12.4,12.5,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,12.5,12.6,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,12.6,12.7,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,12.7,12.8,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,12.8,12.9,0.000197413878195637
HHS Region 6,2 wk ahead,Bin,percent,12.9,13,9.87069390978186e-05
HHS Region 6,2 wk ahead,Bin,percent,13,100,0.00138189714736946
HHS Region 6,3 wk ahead,Point,percent,NA,NA,1.5
HHS Region 6,3 wk ahead,Bin,percent,0,0.1,9.87069390978186e-05
HHS Region 6,3 wk ahead,Bin,percent,0.1,0.2,0.000394827756391274
HHS Region 6,3 wk ahead,Bin,percent,0.2,0.3,0.00444181225940184
HHS Region 6,3 wk ahead,Bin,percent,0.3,0.4,0.0143125061691837
HHS Region 6,3 wk ahead,Bin,percent,0.4,0.5,0.0217155266015201
HHS Region 6,3 wk ahead,Bin,percent,0.5,0.6,0.0290198400947587
HHS Region 6,3 wk ahead,Bin,percent,0.6,0.7,0.043529760142138
HHS Region 6,3 wk ahead,Bin,percent,0.7,0.8,0.041358207481986
HHS Region 6,3 wk ahead,Bin,percent,0.8,0.9,0.0477741585233442
HHS Region 6,3 wk ahead,Bin,percent,0.9,1,0.0473793307669529
HHS Region 6,3 wk ahead,Bin,percent,1,1.1,0.0468857960714638
HHS Region 6,3 wk ahead,Bin,percent,1.1,1.2,0.0472806238278551
HHS Region 6,3 wk ahead,Bin,percent,1.2,1.3,0.0440232948376271
HHS Region 6,3 wk ahead,Bin,percent,1.3,1.4,0.0409633797255947
HHS Region 6,3 wk ahead,Bin,percent,1.4,1.5,0.0380021715526601
HHS Region 6,3 wk ahead,Bin,percent,1.5,1.6,0.0350409633797256
HHS Region 6,3 wk ahead,Bin,percent,1.6,1.7,0.0349422564406278
HHS Region 6,3 wk ahead,Bin,percent,1.7,1.8,0.0328694107195736
HHS Region 6,3 wk ahead,Bin,percent,1.8,1.9,0.0253676833481394
HHS Region 6,3 wk ahead,Bin,percent,1.9,2,0.0311913927549107
HHS Region 6,3 wk ahead,Bin,percent,2,2.1,0.0260586319218241
HHS Region 6,3 wk ahead,Bin,percent,2.1,2.2,0.0263547527391176
HHS Region 6,3 wk ahead,Bin,percent,2.2,2.3,0.0226038890534005
HHS Region 6,3 wk ahead,Bin,percent,2.3,2.4,0.0230974237488895
HHS Region 6,3 wk ahead,Bin,percent,2.4,2.5,0.0205310433323463
HHS Region 6,3 wk ahead,Bin,percent,2.5,2.6,0.0173724212812161
HHS Region 6,3 wk ahead,Bin,percent,2.6,2.7,0.0149047478037706
HHS Region 6,3 wk ahead,Bin,percent,2.7,2.8,0.0129306090218142
HHS Region 6,3 wk ahead,Bin,percent,2.8,2.9,0.0134241437173033
HHS Region 6,3 wk ahead,Bin,percent,2.9,3,0.0120422465699339
HHS Region 6,3 wk ahead,Bin,percent,3,3.1,0.011943539630836
HHS Region 6,3 wk ahead,Bin,percent,3.1,3.2,0.0117461257526404
HHS Region 6,3 wk ahead,Bin,percent,3.2,3.3,0.0105616424834666
HHS Region 6,3 wk ahead,Bin,percent,3.3,3.4,0.0100681077879775
HHS Region 6,3 wk ahead,Bin,percent,3.4,3.5,0.00819267594511894
HHS Region 6,3 wk ahead,Bin,percent,3.5,3.6,0.00740302043233639
HHS Region 6,3 wk ahead,Bin,percent,3.6,3.7,0.00789655512782549
HHS Region 6,3 wk ahead,Bin,percent,3.7,3.8,0.00602112328496693
HHS Region 6,3 wk ahead,Bin,percent,3.8,3.9,0.00661336491955384
HHS Region 6,3 wk ahead,Bin,percent,3.9,4,0.00454051919849965
HHS Region 6,3 wk ahead,Bin,percent,4,4.1,0.0042443983812062
HHS Region 6,3 wk ahead,Bin,percent,4.1,4.2,0.00493534695489093
HHS Region 6,3 wk ahead,Bin,percent,4.2,4.3,0.00394827756391274
HHS Region 6,3 wk ahead,Bin,percent,4.3,4.4,0.00375086368571711
HHS Region 6,3 wk ahead,Bin,percent,4.4,4.5,0.00602112328496693
HHS Region 6,3 wk ahead,Bin,percent,4.5,4.6,0.00444181225940184
HHS Region 6,3 wk ahead,Bin,percent,4.6,4.7,0.00404698450301056
HHS Region 6,3 wk ahead,Bin,percent,4.7,4.8,0.00454051919849965
HHS Region 6,3 wk ahead,Bin,percent,4.8,4.9,0.00365215674661929
HHS Region 6,3 wk ahead,Bin,percent,4.9,5,0.00345474286842365
HHS Region 6,3 wk ahead,Bin,percent,5,5.1,0.00296120817293456
HHS Region 6,3 wk ahead,Bin,percent,5.1,5.2,0.00355344980752147
HHS Region 6,3 wk ahead,Bin,percent,5.2,5.3,0.00305991511203238
HHS Region 6,3 wk ahead,Bin,percent,5.3,5.4,0.00207284572105419
HHS Region 6,3 wk ahead,Bin,percent,5.4,5.5,0.00187543184285855
HHS Region 6,3 wk ahead,Bin,percent,5.5,5.6,0.00227025959924983
HHS Region 6,3 wk ahead,Bin,percent,5.6,5.7,0.00217155266015201
HHS Region 6,3 wk ahead,Bin,percent,5.7,5.8,0.00217155266015201
HHS Region 6,3 wk ahead,Bin,percent,5.8,5.9,0.0015793110255651
HHS Region 6,3 wk ahead,Bin,percent,5.9,6,0.00187543184285855
HHS Region 6,3 wk ahead,Bin,percent,6,6.1,0.00148060408646728
HHS Region 6,3 wk ahead,Bin,percent,6.1,6.2,0.00138189714736946
HHS Region 6,3 wk ahead,Bin,percent,6.2,6.3,0.00128319020827164
HHS Region 6,3 wk ahead,Bin,percent,6.3,6.4,0.000987069390978186
HHS Region 6,3 wk ahead,Bin,percent,6.4,6.5,0.001085776330076
HHS Region 6,3 wk ahead,Bin,percent,6.5,6.6,0.00207284572105419
HHS Region 6,3 wk ahead,Bin,percent,6.6,6.7,0.000789655512782549
HHS Region 6,3 wk ahead,Bin,percent,6.7,6.8,0.000592241634586911
HHS Region 6,3 wk ahead,Bin,percent,6.8,6.9,0.000888362451880367
HHS Region 6,3 wk ahead,Bin,percent,6.9,7,0.00069094857368473
HHS Region 6,3 wk ahead,Bin,percent,7,7.1,0.00128319020827164
HHS Region 6,3 wk ahead,Bin,percent,7.1,7.2,0.00128319020827164
HHS Region 6,3 wk ahead,Bin,percent,7.2,7.3,0.000888362451880367
HHS Region 6,3 wk ahead,Bin,percent,7.3,7.4,0.000789655512782549
HHS Region 6,3 wk ahead,Bin,percent,7.4,7.5,0.000493534695489093
HHS Region 6,3 wk ahead,Bin,percent,7.5,7.6,0.000789655512782549
HHS Region 6,3 wk ahead,Bin,percent,7.6,7.7,0.000197413878195637
HHS Region 6,3 wk ahead,Bin,percent,7.7,7.8,0.000394827756391274
HHS Region 6,3 wk ahead,Bin,percent,7.8,7.9,0.000394827756391274
HHS Region 6,3 wk ahead,Bin,percent,7.9,8,0.000296120817293456
HHS Region 6,3 wk ahead,Bin,percent,8,8.1,0.000394827756391274
HHS Region 6,3 wk ahead,Bin,percent,8.1,8.2,0.000394827756391274
HHS Region 6,3 wk ahead,Bin,percent,8.2,8.3,0.000493534695489093
HHS Region 6,3 wk ahead,Bin,percent,8.3,8.4,0.000394827756391274
HHS Region 6,3 wk ahead,Bin,percent,8.4,8.5,0.000592241634586911
HHS Region 6,3 wk ahead,Bin,percent,8.5,8.6,0.000493534695489093
HHS Region 6,3 wk ahead,Bin,percent,8.6,8.7,0.000592241634586911
HHS Region 6,3 wk ahead,Bin,percent,8.7,8.8,0.00069094857368473
HHS Region 6,3 wk ahead,Bin,percent,8.8,8.9,9.87069390978186e-05
HHS Region 6,3 wk ahead,Bin,percent,8.9,9,0.000493534695489093
HHS Region 6,3 wk ahead,Bin,percent,9,9.1,0.000592241634586911
HHS Region 6,3 wk ahead,Bin,percent,9.1,9.2,0.000197413878195637
HHS Region 6,3 wk ahead,Bin,percent,9.2,9.3,9.87069390978186e-05
HHS Region 6,3 wk ahead,Bin,percent,9.3,9.4,0.000296120817293456
HHS Region 6,3 wk ahead,Bin,percent,9.4,9.5,0.000394827756391274
